age,years_employed,annual_income,loan_amount,loan_term_months,credit_score,num_credit_lines,num_late_payments,debt_to_income_ratio,months_since_derogatory,has_mortgage,num_dependents,savings_balance,checking_balance,loan_to_income_ratio,high_risk
58,12,36811,7088,48,599,8,4,0.18,39,1,1,5142,10487,0.19,0
48,4,21304,7079,24,681,3,1,0.44,12,1,1,403,2054,0.33,0
34,0,69225,7689,12,721,7,1,0.19,32,1,3,1497,1599,0.11,0
62,3,13640,9941,12,687,2,0,0.52,68,0,3,3368,896,0.73,1
27,6,34004,10605,48,688,8,1,0.3,38,1,1,13033,3494,0.31,0
40,7,29389,15885,60,621,14,2,0.47,37,0,1,3431,1684,0.54,1
58,0,29290,7826,36,675,7,2,0.13,14,1,0,1812,11129,0.27,1
38,8,33707,16184,48,582,12,1,0.47,72,0,0,15263,1514,0.48,1
42,0,90101,17872,60,703,5,1,0.55,9,1,3,24867,5477,0.2,0
30,9,73885,10090,60,609,12,0,0.16,6,0,0,781,827,0.14,0
30,0,43223,8243,24,560,11,1,0.33,13,0,4,5520,818,0.19,1
43,4,86405,14059,24,653,4,4,0.4,31,1,1,199,242,0.16,1
55,9,28820,11828,12,496,1,1,0.41,59,0,1,3382,4332,0.41,1
59,5,26926,15248,12,767,5,1,0.3,4,1,0,47160,1733,0.57,0
43,8,75493,34266,36,713,12,0,0.27,50,1,2,5488,3653,0.45,0
22,7,65501,13921,36,676,9,1,0.39,50,1,1,937,11681,0.21,0
41,10,38943,9103,36,520,10,0,0.4,26,1,1,965,712,0.23,1
21,9,27785,7828,36,593,4,1,0.26,42,0,0,1604,603,0.28,0
43,3,101708,8011,60,653,13,0,0.23,6,0,0,2195,760,0.08,0
63,7,20742,5554,60,628,9,2,0.53,5,0,1,507,178,0.27,0
49,0,36344,23380,12,514,12,3,0.37,59,0,0,7296,1461,0.64,1
57,4,54956,3498,24,544,2,1,0.01,20,0,2,9439,4782,0.06,0
21,8,120702,17905,24,627,4,1,0.53,8,1,2,3228,1908,0.15,0
40,5,59370,7935,48,547,9,1,0.26,35,0,0,57231,321,0.13,0
52,6,62327,9823,60,759,4,1,0.36,66,0,2,2935,1221,0.16,0
31,4,36875,7794,36,689,5,1,0.41,30,1,0,20813,2074,0.21,0
41,9,65136,31809,36,585,11,0,0.13,12,0,2,929,5212,0.49,1
63,4,51671,13491,48,743,8,0,0.31,19,0,0,7044,4342,0.26,0
44,3,22153,21466,24,727,1,2,0.55,41,0,0,8434,1236,0.97,0
68,8,72872,29153,36,673,1,0,0.51,2,1,0,2094,1234,0.4,0
46,0,79634,14735,24,646,9,1,0.31,7,1,2,6006,3475,0.19,0
61,7,73253,6519,48,626,9,0,0.46,18,1,0,2069,941,0.09,0
47,0,49844,11703,24,606,4,0,0.48,27,0,0,3380,4632,0.23,1
35,10,30391,8558,24,543,13,0,0.47,12,1,1,3499,875,0.28,1
34,3,15450,9876,24,772,2,0,0.18,10,1,0,910,9959,0.64,0
66,5,53025,12622,36,608,13,0,0.6,1,0,2,9204,2342,0.24,0
