id,name,blurb,goal,log_goal,currency,country,main_category,subcategory,city,location_state,created_at,launched_at,deadline,target
939,Dickshark; the long and short re-edits.,This is NOT porn!,2000.0,7.601402334583733,USD,US,Film & Video,Horror,Dallas,TX,1666140600,1667361766,1669957366,1
89,"YUME, réveillez-vous",Jeu de plateau coopératif par l'artiste Jo Villette,1000.0,6.90875477931522,EUR,FR,Games,Tabletop Games,Auch,Midi-Pyrenees,1758557799,1761872442,1765407540,1
505,Unitopia & The 9 Realms Collectibles,Bring the magical world of Unitopia & The 9 Realms to life with 10 unique unicorn collectibles!,35000.0,10.463131911491969,USD,US,Design,Toys,Los Angeles,CA,1737166902,1737955543,1739599140,0
1178,Aiorank.com,Le premier site de streaming de site internet.,37000.0,10.518700218288163,EUR,FR,Technology,Web,Limoges,Limousin,1592827454,1592991582,1596276720,0
221,K-pop Demon Hunters enamel pins,"A kawaii set of enamel pins inspired by K-pop Demon Hunters, in my style!",2000.0,7.601402334583733,GBP,GB,Art,Illustration,Cambridge,England,1755339398,1755365001,1757665200,0
1972,Powder Her Face,"Considered the most controversial opera of the past two decades, Ades ""Powder Her Face"" is a witty tale of life, lust and vanity.",2000.0,7.601402334583733,USD,US,Art,Performance Art,Houston,TX,1317945608,1319125418,1321077540,1
81,inspired by illusions - interferences - new album!,"For all who enjoy instrumental post-rock. Support the new album release of inspired by illusions, based in Germany, near Stuttgart.",1000.0,6.90875477931522,EUR,DE,Music,Rock,Ludwigsburg,Baden-Wurttemberg,1762467406,1763890610,1766357940,1
190,The Shades of Black Origins Anthology,Learn the stories behind Shades of Black.,2000.0,7.601402334583733,USD,US,Publishing,Anthologies,Tucson,AZ,1733184257,1758355134,1759564734,1
736,Kamouflage,A portrait film by Zillah Rauter,3000.0,8.006700845440367,GBP,GB,Film & Video,Documentary,London,England,1712149011,1714058783,1716206340,1
400,UTF´s der Bundeswehr,3D Druckbare STL Dateien für den Sammler. UTF Fahrzeuge der Bundeswehr (Maßstab 1:100),500.0,6.2166061010848646,EUR,DE,Games,Tabletop Games,Deutsch,Saxony-Anhalt,1745100560,1745139384,1746348984,0
