issue_d,sub_grade,term,home_ownership,fico_range_low,total_acc,pub_rec,revol_util,annual_inc,int_rate,dti,purpose,mort_acc,loan_amnt,application_type,installment,verification_status,pub_rec_bankruptcies,addr_state,initial_list_status,fico_range_high,revol_bal,id,open_acc,emp_length,loan_status,time_to_earliest_cr_line
2014-03-01,B5, 36 months,RENT,690.0,19.0,0.0,64.1,49000.0,12.99,34.46,credit_card,0.0,8000.0,Individual,269.52,Source Verified,0.0,NY,w,694.0,15709.0,13296552,9.0,11.0,1,623203.2
2015-03-01,C2, 36 months,MORTGAGE,660.0,17.0,0.0,76.5,35000.0,12.69,21.64,other,0.0,5000.0,Individual,167.73,Source Verified,0.0,AL,f,664.0,6353.0,42293169,9.0,1.0,1,410227.2
2015-07-01,G2, 60 months,RENT,695.0,41.0,0.0,20.8,72000.0,27.31,29.17,debt_consolidation,0.0,21975.0,Individual,675.1,Verified,0.0,LA,f,699.0,5590.0,56067317,17.0,2.0,1,265420.8
2016-01-01,B4, 36 months,MORTGAGE,660.0,18.0,0.0,94.1,74000.0,10.78,20.99,debt_consolidation,0.0,12325.0,Individual,402.23,Verified,0.0,SC,w,664.0,8942.0,68479015,9.0,11.0,1,520819.2
2015-09-01,F1, 60 months,OWN,670.0,14.0,1.0,87.7,70000.0,21.99,32.13,debt_consolidation,0.0,23750.0,Individual,655.82,Verified,0.0,AZ,f,674.0,7457.0,60387235,10.0,9.0,0,541814.4
2016-05-01,B1, 36 months,MORTGAGE,770.0,30.0,0.0,39.4,68500.0,8.39,31.9,home_improvement,3.0,6000.0,Individual,189.1,Not Verified,0.0,NC,f,774.0,11710.0,79270965,7.0,11.0,1,525916.8
2015-12-01,C1, 60 months,OWN,690.0,33.0,0.0,51.2,47000.0,11.99,23.93,debt_consolidation,2.0,15000.0,Individual,333.6,Source Verified,0.0,ND,f,694.0,13319.0,66643328,16.0,8.0,1,620611.2
2015-04-01,G1, 60 months,RENT,740.0,19.0,0.0,74.8,112079.0,25.8,25.3,house,2.0,35000.0,Individual,1043.78,Verified,0.0,DE,f,744.0,16382.0,46794204,9.0,11.0,1,475977.6
2015-06-01,C1, 36 months,OWN,680.0,34.0,1.0,53.1,100000.0,12.29,10.46,home_improvement,5.0,12000.0,Individual,400.24,Not Verified,1.0,CO,f,684.0,6635.0,52078245,9.0,11.0,1,1299110.4
2015-11-01,B3, 36 months,OWN,720.0,17.0,0.0,32.0,65000.0,9.99,17.98,credit_card,0.0,8600.0,Individual,277.46,Source Verified,0.0,MI,w,724.0,8983.0,65832280,10.0,3.0,1,228787.2
2016-01-01,B3, 36 months,RENT,665.0,28.0,0.0,71.5,76000.0,9.8,23.56,debt_consolidation,4.0,10000.0,Individual,321.74,Not Verified,0.0,MN,w,669.0,21958.0,69246331,11.0,3.0,1,452304.0
2016-03-01,A1, 36 months,RENT,705.0,32.0,0.0,30.3,60000.0,5.32,9.9,credit_card,0.0,7200.0,Individual,216.83,Not Verified,0.0,NY,w,709.0,9846.0,75728626,7.0,1.0,1,328665.6
2015-10-01,B2, 36 months,MORTGAGE,670.0,24.0,0.0,103.1,145000.0,9.17,23.31,debt_consolidation,3.0,8000.0,Individual,255.04,Verified,0.0,TX,f,674.0,34531.0,63495167,13.0,1.0,1,489110.4
2015-02-01,B3, 36 months,RENT,665.0,39.0,0.0,89.5,90000.0,9.99,13.07,credit_card,0.0,10000.0,Individual,322.63,Verified,0.0,NY,f,669.0,17005.0,40949648,20.0,1.0,1,549676.8
2015-05-01,C5, 60 months,MORTGAGE,705.0,44.0,1.0,44.0,70000.0,14.65,23.45,debt_consolidation,2.0,15000.0,Individual,354.1,Source Verified,1.0,MI,w,709.0,11044.0,49207683,21.0,0.0,1,407548.8
2015-07-01,B4, 36 months,RENT,685.0,15.0,0.0,6.5,24000.0,10.99,16.18,other,0.0,1000.0,Individual,32.74,Not Verified,0.0,CT,w,689.0,5015.0,55290301,7.0,2.0,1,546998.4
2014-05-01,C3, 36 months,MORTGAGE,665.0,26.0,1.0,63.8,80000.0,13.98,13.63,home_improvement,4.0,3000.0,Individual,102.51,Source Verified,0.0,CT,w,669.0,8678.0,17453114,10.0,0.0,1,662688.0
2016-04-01,B1, 60 months,MORTGAGE,705.0,26.0,1.0,4.3,75000.0,8.39,2.85,other,5.0,24000.0,Individual,491.13,Not Verified,0.0,IN,w,709.0,2156.0,76915698,13.0,11.0,1,565488.0
